"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"21:11:34:07","A002C006_230418_R073","","0","","","","-15.9","29.7","ARRI ALEXA Mini"
"21:11:34:08","A002C006_230418_R073","","0","","","","-15.9","29.7","ARRI ALEXA Mini"
"21:11:34:09","A002C006_230418_R073","","0","","","","-15.6","29.9","ARRI ALEXA Mini"
"21:11:34:10","A002C006_230418_R073","","0","","","","-15.3","30.1","ARRI ALEXA Mini"
"21:11:34:11","A002C006_230418_R073","","0","","","","-15.3","29.8","ARRI ALEXA Mini"
"21:11:34:12","A002C006_230418_R073","","0","","","","-15.4","28.8","ARRI ALEXA Mini"
"21:11:34:13","A002C006_230418_R073","","0","","","","-15.4","27.6","ARRI ALEXA Mini"
"21:11:34:14","A002C006_230418_R073","","0","","","","-15.8","27.1","ARRI ALEXA Mini"
"21:11:34:15","A002C006_230418_R073","","0","","","","-16.6","26.7","ARRI ALEXA Mini"
"21:11:34:16","A002C006_230418_R073","","0","","","","-18.4","25.7","ARRI ALEXA Mini"
"21:11:34:17","A002C006_230418_R073","","0","","","","-18.9","25.5","ARRI ALEXA Mini"
"21:11:34:18","A002C006_230418_R073","","0","","","","-19.3","25.8","ARRI ALEXA Mini"
"21:11:34:19","A002C006_230418_R073","","0","","","","-18.8","26.4","ARRI ALEXA Mini"
"21:11:34:20","A002C006_230418_R073","","0","","","","-18.2","26.9","ARRI ALEXA Mini"
"21:11:34:21","A002C006_230418_R073","","0","","","","-17.6","27.4","ARRI ALEXA Mini"
"21:11:34:22","A002C006_230418_R073","","0","","","","-17.2","28.2","ARRI ALEXA Mini"
"21:11:34:23","A002C006_230418_R073","","0","","","","-17.1","28.7","ARRI ALEXA Mini"
"21:11:35:00","A002C006_230418_R073","","0","","","","-17.1","28.8","ARRI ALEXA Mini"
"21:11:35:01","A002C006_230418_R073","","0","","","","-17","28.9","ARRI ALEXA Mini"
"21:11:35:02","A002C006_230418_R073","","0","","","","-16.8","29","ARRI ALEXA Mini"
"21:11:35:03","A002C006_230418_R073","","0","","","","-16.4","29.1","ARRI ALEXA Mini"
"21:11:35:04","A002C006_230418_R073","","0","","","","-16.4","29.2","ARRI ALEXA Mini"
"21:11:35:05","A002C006_230418_R073","","0","","","","-16.5","29.3","ARRI ALEXA Mini"
"21:11:35:06","A002C006_230418_R073","","0","","","","-16.6","29.2","ARRI ALEXA Mini"
"21:11:35:07","A002C006_230418_R073","","0","","","","-16.8","29.1","ARRI ALEXA Mini"
"21:11:35:08","A002C006_230418_R073","","0","","","","-16.8","28.8","ARRI ALEXA Mini"
"21:11:35:09","A002C006_230418_R073","","0","","","","-16.8","28.8","ARRI ALEXA Mini"
"21:11:35:10","A002C006_230418_R073","","0","","","","-16.8","28.8","ARRI ALEXA Mini"
"21:11:35:11","A002C006_230418_R073","","0","","","","-16.7","28.2","ARRI ALEXA Mini"
"21:11:35:12","A002C006_230418_R073","","0","","","","-16.7","26.8","ARRI ALEXA Mini"
"21:11:35:13","A002C006_230418_R073","","0","","","","-16.5","25","ARRI ALEXA Mini"
"21:11:35:14","A002C006_230418_R073","","0","","","","-16.1","22.9","ARRI ALEXA Mini"
"21:11:35:15","A002C006_230418_R073","","0","","","","-16.1","20.9","ARRI ALEXA Mini"
"21:11:35:16","A002C006_230418_R073","","0","","","","-16.2","19.5","ARRI ALEXA Mini"
"21:11:35:17","A002C006_230418_R073","","0","","","","-16.2","18.6","ARRI ALEXA Mini"
"21:11:35:18","A002C006_230418_R073","","0","","","","-16","17.8","ARRI ALEXA Mini"
"21:11:35:19","A002C006_230418_R073","","0","","","","-15.5","17.3","ARRI ALEXA Mini"
"21:11:35:20","A002C006_230418_R073","","0","","","","-14.9","17.1","ARRI ALEXA Mini"
"21:11:35:21","A002C006_230418_R073","","0","","","","-14.9","17.1","ARRI ALEXA Mini"
"21:11:35:22","A002C006_230418_R073","","0","","","","-13.1","17.4","ARRI ALEXA Mini"
"21:11:35:23","A002C006_230418_R073","","0","","","","-12.8","17.7","ARRI ALEXA Mini"
"21:11:36:00","A002C006_230418_R073","","0","","","","-12.8","17.7","ARRI ALEXA Mini"
"21:11:36:01","A002C006_230418_R073","","0","","","","-14.2","17.9","ARRI ALEXA Mini"
"21:11:36:02","A002C006_230418_R073","","0","","","","-15.6","18.6","ARRI ALEXA Mini"
"21:11:36:03","A002C006_230418_R073","","0","","","","-17.8","20.4","ARRI ALEXA Mini"
"21:11:36:04","A002C006_230418_R073","","0","","","","-19.2","21.3","ARRI ALEXA Mini"
"21:11:36:05","A002C006_230418_R073","","0","","","","-19.8","21.7","ARRI ALEXA Mini"
"21:11:36:06","A002C006_230418_R073","","0","","","","-19.8","21.8","ARRI ALEXA Mini"
"21:11:36:07","A002C006_230418_R073","","0","","","","-19.7","22","ARRI ALEXA Mini"
"21:11:36:08","A002C006_230418_R073","","0","","","","-19.1","22.8","ARRI ALEXA Mini"
"21:11:36:09","A002C006_230418_R073","","0","","","","-19.6","23.3","ARRI ALEXA Mini"
"21:11:36:10","A002C006_230418_R073","","0","","","","-19.7","23.6","ARRI ALEXA Mini"
"21:11:36:11","A002C006_230418_R073","","0","","","","-19.7","23.7","ARRI ALEXA Mini"
"21:11:36:12","A002C006_230418_R073","","0","","","","-19.3","23.2","ARRI ALEXA Mini"
"21:11:36:13","A002C006_230418_R073","","0","","","","-18.5","21.5","ARRI ALEXA Mini"
"21:11:36:14","A002C006_230418_R073","","0","","","","-17.7","19.6","ARRI ALEXA Mini"
"21:11:36:15","A002C006_230418_R073","","0","","","","-16.5","15.9","ARRI ALEXA Mini"
"21:11:36:16","A002C006_230418_R073","","0","","","","-16.2","14.5","ARRI ALEXA Mini"
"21:11:36:17","A002C006_230418_R073","","0","","","","-15.4","11.6","ARRI ALEXA Mini"
"21:11:36:18","A002C006_230418_R073","","0","","","","-14","9.4","ARRI ALEXA Mini"
"21:11:36:19","A002C006_230418_R073","","0","","","","-12.5","8.1","ARRI ALEXA Mini"
"21:11:36:20","A002C006_230418_R073","","0","","","","-12","7.1","ARRI ALEXA Mini"
"21:11:36:21","A002C006_230418_R073","","0","","","","-12.3","6","ARRI ALEXA Mini"
"21:11:36:22","A002C006_230418_R073","","0","","","","-12.9","5.6","ARRI ALEXA Mini"
"21:11:36:23","A002C006_230418_R073","","0","","","","-14","5.9","ARRI ALEXA Mini"
"21:11:37:00","A002C006_230418_R073","","0","","","","-14.9","6.2","ARRI ALEXA Mini"
"21:11:37:01","A002C006_230418_R073","","0","","","","-15.5","5.9","ARRI ALEXA Mini"
"21:11:37:02","A002C006_230418_R073","","0","","","","-15.1","5.6","ARRI ALEXA Mini"
"21:11:37:03","A002C006_230418_R073","","0","","","","-14.3","6.6","ARRI ALEXA Mini"
"21:11:37:04","A002C006_230418_R073","","0","","","","-13.1","8.5","ARRI ALEXA Mini"
"21:11:37:05","A002C006_230418_R073","","0","","","","-11.6","11.3","ARRI ALEXA Mini"
"21:11:37:06","A002C006_230418_R073","","0","","","","-10.6","13.3","ARRI ALEXA Mini"
"21:11:37:07","A002C006_230418_R073","","0","","","","-10.2","15.5","ARRI ALEXA Mini"
"21:11:37:08","A002C006_230418_R073","","0","","","","-10.2","18.7","ARRI ALEXA Mini"
"21:11:37:09","A002C006_230418_R073","","0","","","","-10.3","21.4","ARRI ALEXA Mini"
"21:11:37:10","A002C006_230418_R073","","0","","","","-11.9","23.8","ARRI ALEXA Mini"
"21:11:37:11","A002C006_230418_R073","","0","","","","-12.5","26.2","ARRI ALEXA Mini"
"21:11:37:12","A002C006_230418_R073","","0","","","","-12.1","27.4","ARRI ALEXA Mini"
"21:11:37:13","A002C006_230418_R073","","0","","","","-11.3","27.4","ARRI ALEXA Mini"
"21:11:37:14","A002C006_230418_R073","","0","","","","-11.2","25.4","ARRI ALEXA Mini"
"21:11:37:15","A002C006_230418_R073","","0","","","","-12.1","24.3","ARRI ALEXA Mini"
"21:11:37:16","A002C006_230418_R073","","0","","","","-13.1","23.7","ARRI ALEXA Mini"
"21:11:37:17","A002C006_230418_R073","","0","","","","-13.1","23.7","ARRI ALEXA Mini"
"21:11:37:18","A002C006_230418_R073","","0","","","","-13.1","23.9","ARRI ALEXA Mini"
"21:11:37:19","A002C006_230418_R073","","0","","","","-13.1","23.9","ARRI ALEXA Mini"
"21:11:37:20","A002C006_230418_R073","","0","","","","-12","23.4","ARRI ALEXA Mini"
"21:11:37:21","A002C006_230418_R073","","0","","","","-12","21.1","ARRI ALEXA Mini"
"21:11:37:22","A002C006_230418_R073","","0","","","","-11.9","18.6","ARRI ALEXA Mini"
"21:11:37:23","A002C006_230418_R073","","0","","","","-12","14.1","ARRI ALEXA Mini"
"21:11:38:00","A002C006_230418_R073","","0","","","","-13","9.7","ARRI ALEXA Mini"
"21:11:38:01","A002C006_230418_R073","","0","","","","-14.5","6.2","ARRI ALEXA Mini"
"21:11:38:02","A002C006_230418_R073","","0","","","","-15.6","3","ARRI ALEXA Mini"
"21:11:38:03","A002C006_230418_R073","","0","","","","-15.7","1.9","ARRI ALEXA Mini"
"21:11:38:04","A002C006_230418_R073","","0","","","","-15.8","1.9","ARRI ALEXA Mini"
"21:11:38:05","A002C006_230418_R073","","0","","","","-16.1","2.7","ARRI ALEXA Mini"
"21:11:38:06","A002C006_230418_R073","","0","","","","-16.2","3.4","ARRI ALEXA Mini"
"21:11:38:07","A002C006_230418_R073","","0","","","","-15.6","3","ARRI ALEXA Mini"
"21:11:38:08","A002C006_230418_R073","","0","","","","-15.1","2.2","ARRI ALEXA Mini"
"21:11:38:09","A002C006_230418_R073","","0","","","","-15.3","2","ARRI ALEXA Mini"
"21:11:38:10","A002C006_230418_R073","","0","","","","-16.3","2.5","ARRI ALEXA Mini"
"21:11:38:11","A002C006_230418_R073","","0","","","","-16.7","3.5","ARRI ALEXA Mini"
"21:11:38:12","A002C006_230418_R073","","0","","","","-16","4.3","ARRI ALEXA Mini"
"21:11:38:13","A002C006_230418_R073","","0","","","","-15.7","5.3","ARRI ALEXA Mini"
"21:11:38:14","A002C006_230418_R073","","0","","","","-15.7","8.4","ARRI ALEXA Mini"
"21:11:38:15","A002C006_230418_R073","","0","","","","-15.9","11.2","ARRI ALEXA Mini"
"21:11:38:16","A002C006_230418_R073","","0","","","","-15.6","14.2","ARRI ALEXA Mini"
"21:11:38:17","A002C006_230418_R073","","0","","","","-14.8","16.5","ARRI ALEXA Mini"
"21:11:38:18","A002C006_230418_R073","","0","","","","-14.5","17.7","ARRI ALEXA Mini"
"21:11:38:19","A002C006_230418_R073","","0","","","","-14.7","19.6","ARRI ALEXA Mini"
"21:11:38:20","A002C006_230418_R073","","0","","","","-15.8","22.6","ARRI ALEXA Mini"
"21:11:38:21","A002C006_230418_R073","","0","","","","-15.2","25.6","ARRI ALEXA Mini"
"21:11:38:22","A002C006_230418_R073","","0","","","","-13.2","28.9","ARRI ALEXA Mini"
"21:11:38:23","A002C006_230418_R073","","0","","","","-12.6","30.6","ARRI ALEXA Mini"
"21:11:39:00","A002C006_230418_R073","","0","","","","-13","30.2","ARRI ALEXA Mini"
"21:11:39:01","A002C006_230418_R073","","0","","","","-15.1","28.3","ARRI ALEXA Mini"
"21:11:39:02","A002C006_230418_R073","","0","","","","-17.4","26.9","ARRI ALEXA Mini"
"21:11:39:03","A002C006_230418_R073","","0","","","","-19","25.7","ARRI ALEXA Mini"
"21:11:39:04","A002C006_230418_R073","","0","","","","-19.5","25.1","ARRI ALEXA Mini"
"21:11:39:05","A002C006_230418_R073","","0","","","","-19","26.2","ARRI ALEXA Mini"
"21:11:39:06","A002C006_230418_R073","","0","","","","-17.5","27.4","ARRI ALEXA Mini"
"21:11:39:07","A002C006_230418_R073","","0","","","","-16.1","29","ARRI ALEXA Mini"
"21:11:39:08","A002C006_230418_R073","","0","","","","-15.9","29.7","ARRI ALEXA Mini"
"21:11:39:09","A002C006_230418_R073","","0","","","","-16.8","28.2","ARRI ALEXA Mini"
"21:11:39:10","A002C006_230418_R073","","0","","","","-19.3","24.4","ARRI ALEXA Mini"
"21:11:39:11","A002C006_230418_R073","","0","","","","-21.8","19.9","ARRI ALEXA Mini"
"21:11:39:12","A002C006_230418_R073","","0","","","","-24.1","15.3","ARRI ALEXA Mini"
"21:11:39:13","A002C006_230418_R073","","0","","","","-25.3","9.8","ARRI ALEXA Mini"
"21:11:39:14","A002C006_230418_R073","","0","","","","-24.9","7.2","ARRI ALEXA Mini"
"21:11:39:15","A002C006_230418_R073","","0","","","","-21.8","5.1","ARRI ALEXA Mini"
"21:11:39:16","A002C006_230418_R073","","0","","","","-20","4.6","ARRI ALEXA Mini"
"21:11:39:17","A002C006_230418_R073","","0","","","","-19","5.8","ARRI ALEXA Mini"
"21:11:39:18","A002C006_230418_R073","","0","","","","-19.1","7.8","ARRI ALEXA Mini"
"21:11:39:19","A002C006_230418_R073","","0","","","","-18.9","9","ARRI ALEXA Mini"
"21:11:39:20","A002C006_230418_R073","","0","","","","-18.5","10.3","ARRI ALEXA Mini"
"21:11:39:21","A002C006_230418_R073","","0","","","","-18","11.5","ARRI ALEXA Mini"
"21:11:39:22","A002C006_230418_R073","","0","","","","-17.5","12.7","ARRI ALEXA Mini"
"21:11:39:23","A002C006_230418_R073","","0","","","","-16.9","13.9","ARRI ALEXA Mini"
"21:11:40:00","A002C006_230418_R073","","0","","","","-16","15.3","ARRI ALEXA Mini"
"21:11:40:01","A002C006_230418_R073","","0","","","","-15","17.2","ARRI ALEXA Mini"
"21:11:40:02","A002C006_230418_R073","","0","","","","-13.8","19.2","ARRI ALEXA Mini"
"21:11:40:03","A002C006_230418_R073","","0","","","","-12.6","21.2","ARRI ALEXA Mini"
"21:11:40:04","A002C006_230418_R073","","0","","","","-11.1","23","ARRI ALEXA Mini"
"21:11:40:05","A002C006_230418_R073","","0","","","","-10.3","24","ARRI ALEXA Mini"
"21:11:40:06","A002C006_230418_R073","","0","","","","-9.5","24.8","ARRI ALEXA Mini"
"21:11:40:07","A002C006_230418_R073","","0","","","","-8.9","25.5","ARRI ALEXA Mini"
"21:11:40:08","A002C006_230418_R073","","0","","","","-9.8","25","ARRI ALEXA Mini"
"21:11:40:09","A002C006_230418_R073","","0","","","","-11.5","24.3","ARRI ALEXA Mini"
"21:11:40:10","A002C006_230418_R073","","0","","","","-11.8","24.2","ARRI ALEXA Mini"
"21:11:40:11","A002C006_230418_R073","","0","","","","-12.7","24.3","ARRI ALEXA Mini"
"21:11:40:12","A002C006_230418_R073","","0","","","","-14","24.2","ARRI ALEXA Mini"
"21:11:40:13","A002C006_230418_R073","","0","","","","-16","23.9","ARRI ALEXA Mini"
"21:11:40:14","A002C006_230418_R073","","0","","","","-17.7","22.9","ARRI ALEXA Mini"
"21:11:40:15","A002C006_230418_R073","","0","","","","-18.6","21.1","ARRI ALEXA Mini"
"21:11:40:16","A002C006_230418_R073","","0","","","","-19.6","18.2","ARRI ALEXA Mini"
"21:11:40:17","A002C006_230418_R073","","0","","","","-20.2","15.7","ARRI ALEXA Mini"
"21:11:40:18","A002C006_230418_R073","","0","","","","-21.1","14.7","ARRI ALEXA Mini"
"21:11:40:19","A002C006_230418_R073","","0","","","","-21.6","14.4","ARRI ALEXA Mini"
