"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"09:03:46:09","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:46:10","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:46:11","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:46:12","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:46:13","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:46:14","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:46:15","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:46:16","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:46:17","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:46:18","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:46:19","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:46:20","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:46:21","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:46:22","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:46:23","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:47:00","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:47:01","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:47:02","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:47:03","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:47:04","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:47:05","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:47:06","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:47:07","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:47:08","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:47:09","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:47:10","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:47:11","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
